client_id	path	sentence	up_votes	down_votes	age	gender	accents	locale	segment	ipa
478c06f2dc0d4726f93187e83ef991c8f3f0f5d7a19e04d9c3b31198f94b6c0825126e36427a6099a4ee810cf6ef5ff5ac470560ef7156a2a88ec0c19a940555	common_voice_en_25211303.wav	Males also turn red-headed after a successful battle with rivals.	3	0	twenties	male	England English	en		meɪlz ˈɔlsoʊ tərn rɛd.ˈhɛdɪd ˈæftər ə səkˈsɛsfəl ˈbætəl wɪθ ˈraɪvəlz.
07cb30aef102e0d5b46ec8e3be387366e1a179195f28217ddd1d88e837f1f9111e2eb4f09f50607fad055edf3f31622dc4dff98467dcceb0d9dde1836ff1f8dd	common_voice_en_18259198.wav	The floor was wet.	2	0	twenties	male		en		ðə flɔr wɑz wɛt.
d52bb0adfdab779225baced6592037144b2e87917a526795b9a95af00d661d4da14b882101909f301769f1472565b5b1d9f859e493b9243aaa2999d78ea8ff84	common_voice_en_55015.wav	There was no excuse for Goodman to fly off the handle.	3	0	twenties	male	United States English	en		ðɛr wɑz noʊ ɪkˈskjuz fər ˈgʊdmən tɪ flaɪ ɔf ðə ˈhændəl.
4099fb1cf8639670797b1a0aa95b38451669863d141e9b8926017e4bbe65fa93669f3c94427831ca36ff2f2159426fb890bbebbda4439cb82b112f20522339eb	common_voice_en_25904558.wav	The first car was left with significant structural damage.	2	0				en		ðə fərst kɑr wɑz lɛft wɪθ sɪgˈnɪfɪkənt ˈstrəkʧərəl ˈdæmɪʤ.
221c834317ce3121809e7a68ecb68dbe9f79584adbce2df28daaf8cec3da3584004bf00721a342111c75f20eae881f7e738137986dd411f4928f1e1a423244c5	common_voice_en_28214834.wav	Many of his songs and tunes came from his mother who played the accordion.	2	0	twenties	male	United States English	en		ˈmɛni əv hɪz sɔŋz ənd tunz keɪm frəm hɪz ˈməðər hu pleɪd ðə əˈkɔrdiən.
4e5c08cc543e861488ceca7df77aa8ca25e77a58da339c6fb7c690df64ed44cff1e1876cfe6229b290d23f50a433de72d70114064c98367755e3f360dff04548	common_voice_en_18233452.wav	"Cut off one's nose to spite one's face."	2	0				en		"kət ɔf wənz noʊz tɪ spaɪt wənz feɪs."
8e68651007124cc97984fbddad2ea1edaf53a04ad5129920ca44e240cd3a08146469c1d8968ed576d1655b2323c4bded672bd89e88dab0da23b16ab7e15381be	common_voice_en_17481756.wav	What else could it be?	2	0	fifties	female	England English	en		wət ɛls kʊd ɪt bi?
939991dfcf12d8250739f3b4e5ed47e0dc4bf8ffb69810f4ab853aa12872a811941be35b7e91af5df8350d75d3c61d1301aba694c41deb3f38f1414703bc0461	common_voice_en_18473547.wav	"We didn't get the necklace."	2	0	twenties	male		en		"wi ˈdɪdənt gɪt ðə ˈnɛkləs."
b6d3e2e5d67a4a8cb8b4149c70d2178732a994f9a7d7b8a657777628e521e9a6ab9a77fc084a1e275d0aec86a5e8bfba609f6a4ba800836b87848e6145809e10	common_voice_en_5674646.wav	Opening the source code can be a measure to create trust in software.	2	0				en		ˈoʊpənɪŋ ðə sɔrs koʊd kən bi ə ˈmɛʒər tɪ kriˈeɪt trəst ɪn ˈsɔfˌwɛr.
5873679d687671a89a7a2bda7ae98972e102e1791bc9c5751c0219a2e55a8af6065d3be45299be1e49bc4b2a8bf1a14f5538eabf2cda88976d138fdc37745840	common_voice_en_565718.wav	After two hours, he returned to the room where the wise man was.	2	0				en		ˈæftər tu aʊərz, hi rɪˈtərnd tɪ ðə rum wɛr ðə waɪz mæn wɑz.
b8ffad728574ee418908667a9a07f48ca074063c9f1d352e9a1093f5ab330142c2b3f1a7d54443e98887f74b02bff5724b05968d8366b6d7b7cfb01c4556286d	common_voice_en_20053123.wav	They had a technique of conserving foods for considerable periods.	2	0				en		ðeɪ hæd ə tɛkˈnik əv kənˈsərvɪŋ fudz fər kənˈsɪdərəbəl ˈpɪriədz.
43bc48e6003359273e19a6ee2e3e7e8d15f61c3eeacae4544a58ee9a7937f7b0a151778c9d7657efd5beffcd4f69029a5a88e90e1b7b34419c711a425efb8289	common_voice_en_158713.wav	She sends for you.	2	0				en		ʃi sɛndz fər ju.
372293e65cdab88771e028a4351651ab2eff64438ddafc211e089247dcdccca350153465eb5409ce708081d9ad384af45d1dc57bbe030ae1a2c0edd561322fb8	common_voice_en_21894657.wav	seven	6	0	fourties	male	German English,Non native speaker	en	Benchmark	ˈsɛvən
fcffb37fddeaa6cbdda86f7d25e57e69c00d260fc22caae90b91c1b7b818a12e26e77c8ebe42dd53b76031a9662564f17ca23ef8ae743fc3aefc9da6bf182acd	common_voice_en_23717608.wav	Erdmann had many readers, students and followers, and influenced many intellectuals of his time.	2	0	teens	male	Singaporean English	en		ˈərdmən hæd ˈmɛni ˈridərz, ˈstudənts ənd ˈfɑloʊərz, ənd ˈɪnfluənst ˈmɛni ˌɪntəˈlɛkʧuəlz əv hɪz taɪm.
